category,subcategory_lvl1,subcategory_lvl2,page_url,product_id,image_url,brand,price,title,description,gender
Çanta,Omuz çantası,Kadın  platin omuz çantası vznc-053y,https://www.flo.com.tr/kadin-platin-omuz-cantasi-vznc-053y-200004761,200004761,https://floimages.mncdn.com/media/catalog/product/20-07/01/00371-100-100-50-50-426_074_1.JPG?0.9976227551671473,Vizon Ayakkabı,189.9,Kadın  Platin Omuz Çantası VZNC-053Y,"Materyal : Suni DeriCinsiyet : KadınÜrün Tipi : Omuz ÇantasıYükseklik : 16 cm Genişlik: 25 cmDerinlik: 9 cmÜrün Kodu : VZNC-053Y",Kadın
Ayakkabı,Sneaker,Klasik sneaker,https://www.flo.com.tr/art-bella-u2206-18s-beyaz-kadin-sneaker-ayakkabi-100316424,100316424,https://floimages.mncdn.com/media/catalog/product/1/0/100316424_1.jpg,Art Bella,69.99,U2206-18S Beyaz Kadın Sneaker Ayakkabı,İç Materyal: Tekstil,Kadın
Ayakkabı,Babet,Ds18010 siyah kadın babet,https://www.flo.com.tr/miss-f-ds18010-siyah-kadin-babet-100316,100316,https://floimages.mncdn.com/media/catalog/product/1/0/100316000_1.jpg,Miss F,69.99,DS18010 Siyah Kadın Babet,İç Materyal: Suni Deri,Kadın
Ayakkabı,Günlük ayakkabı,Casual ayakkabı,https://www.flo.com.tr/ambitious-7383-taupe-erkek-modern-ayakkabi-100278168,100278168,https://floimages.mncdn.com/media/catalog/product/1/0/100278168_1.jpg,Ambitious,209.99,7383 Taupe Erkek Modern Ayakkabı,,Erkek
Ayakkabı,Günlük ayakkabı,Casual ayakkabı,https://www.flo.com.tr/ambitious-7109a-mavi-erkek-modern-ayakkabi-100278155,100278155,https://floimages.mncdn.com/media/catalog/product/1/0/100278155_1.jpg,Ambitious,209.99,7109A Mavi Erkek Modern Ayakkabı,,Erkek
Ayakkabı,Klasik ayakkabı,609 siyah erkek ayakkabı,https://www.flo.com.tr/garamond-609-siyah-erkek-ayakkabi-100316972,100316972,https://floimages.mncdn.com/media/catalog/product/1/0/100316972_1.jpg,Garamond,149.99,609 Siyah Erkek Ayakkabı,,Erkek
Ayakkabı,Sneaker,Klasik sneaker,https://www.flo.com.tr/lotto-wings-lacivert-erkek-sneaker-ayakkabi-100562354,100562354,https://floimages.mncdn.com/media/catalog/product/20-01/22/100562354_1.JPG,Lotto,139.95,WINGS Lacivert Erkek Sneaker Ayakkabı,,WINGS
Ayakkabı,Sneaker,Klasik sneaker,https://www.flo.com.tr/lotto-anca-kahverengi-erkek-bot-100562358,100562358,https://floimages.mncdn.com/media/catalog/product/20-01/22/100562358_1.JPG,Lotto,256.24,ANCA Kahverengi Erkek Bot,,ANCA
Ayakkabı,Klasik ayakkabı,G-44 siyah erkek ayakkabı,https://www.flo.com.tr/garamond-g-44-siyah-erkek-ayakkabi-100316967,100316967,https://floimages.mncdn.com/media/catalog/product/1/0/100316967_1.jpg,Garamond,149.99,G-44 Siyah Erkek Ayakkabı,,Erkek
Ayakkabı,Günlük ayakkabı,Casual ayakkabı,https://www.flo.com.tr/roberto-ley-15476-siyah-erkek-modern-ayakkabi-100278147,100278147,https://floimages.mncdn.com/media/catalog/product/1/0/100278147_1.jpg,Roberto Ley,274.99,15476 Siyah Erkek Modern Ayakkabı,,Erkek
Çanta,El çantası,Kadın  halka detaylı günlük kadın el çantası 9003,https://www.flo.com.tr/kadin-axpe-halka-detayli-gunluk-kadin-el-cantasi-9003-2000128,2000128,https://floimages.mncdn.com/media/catalog/product/20-07/22/axpe-gunluk-kadin-el-cantasi-9003_15705356973356_xml3.jpg?0.217013144811661,Axpe,87.58,Kadın  Halka Detaylı Günlük Kadın El Çantası 9003,,Kadın
Ayakkabı,Topuklu ayakkabı,Klasik topuklu ayakkabı,https://www.flo.com.tr/butigo-19k-304-siyah-kadin-gova-ayakkabi-100440263,100440263,https://floimages.mncdn.com/media/catalog/product/19-11/05/100440263_1.jpg,Butigo,119.99,19K-304 Siyah Kadın Gova Ayakkabı,İç Materyal: Suni Deri,Kadın
Ayakkabı,Sneaker,Klasik sneaker,https://www.flo.com.tr/torex-mendel-siyah-erkek-sneaker-ayakkabi-100384468,100384468,https://floimages.mncdn.com/media/catalog/product//1/0/100384468_1.jpg,Torex,53.99,MENDEL Siyah Erkek Sneaker Ayakkabı,,Erkek
Ayakkabı,Spor ayakkabı,Koşu ayakkabısı,https://www.flo.com.tr/kinetix-deron-beyaz-erkek-kosu-ayakkabisi-100300674,100300674,https://floimages.mncdn.com/media/catalog/product/1/7/4/100300674.jpg,Kinetix,179.99,DERON Beyaz Erkek Koşu Ayakkabısı,,Erkek
Ayakkabı,Sneaker,Klasik sneaker,https://www.flo.com.tr/lotto-alero-yesil-multi-erkek-sneaker-ayakkabi-100562343,100562343,https://floimages.mncdn.com/media/catalog/product/20-01/22/100562343_1.JPG,Lotto,112.49,ALERO YESIL MULTI Erkek Sneaker Ayakkabı,,ALERO
Ayakkabı,Sneaker,Klasik sneaker,https://www.flo.com.tr/lotto-omega-lacivert-erkek-sneaker-ayakkabi-100562345,100562345,https://floimages.mncdn.com/media/catalog/product/20-02/05/100562345_1.JPG,Lotto,106.24,OMEGA Lacivert Erkek Sneaker Ayakkabı,,OMEGA
